"Should the Government to stop the planned badger cull and implement the more sustainable and humane solution of both a vaccination programme for badgers and cattle, along with improved testing and biosecurity?",Business of the House - Badger Cull,25 Oct 2012,http://www.publicwhip.org.uk/division.php?date=2012-10-25&number=87,badgers
Should parents be allowed to use reasonable force or chastisement when exercising authority over their children?,Parental Authority,25 Jan 2000,http://www.publicwhip.org.uk/division.php?date=2000-01-25&number=37&dmp=839,smacking
Should the Government accept a Lords amendment to abolish the common law offences of blasphemy and blasphemous libel?,Criminal Justice and Immigration Bill: Blasphemy,6 May 2008,http://www.publicwhip.org.uk/division.php?date=2008-05-06&number=170&dmp=1040,blasphemy
Should the Government remove the section in the Local Government Act 1986 that says: A local authority shall not intentionally promote homosexuality or publish material with the intention of promoting homosexuality; or promote the teaching in any maintained school of the acceptability of homosexuality as a pretended family relationship?,Local Government Bill - Repeal of prohibition on promotion of homosexuality (Section 28),10 Mar 2003,http://www.publicwhip.org.uk/division.php?date=2003-03-10&number=109&dmp=1106,homosexuality
Should the Government to legislate to lower the voting age for all public elections to 16 years?,Young People and Democracy,9 Mar 2004,http://www.publicwhip.org.uk/division.php?date=2004-03-09&number=81&dmp=851,sixteen
"Should the Government raise the UK's undergraduate tuition fee cap to 9,000 per year?","University Tuition Fee Cap - Raise Upper Limit to 9,000 Per Year",9 Dec 2010,http://www.publicwhip.org.uk/division.php?date=2010-12-09&number=150&dmp=1132,tuitionfees
Should we continue to deploy of UK armed forces in Afghanistan?,UK Armed Forces in Afghanistan (Backbench Business),9 Sep 2010,http://www.publicwhip.org.uk/division.php?date=2010-09-09&number=59,afghanistan
Should Value Added Tax be increased from 17.5 to 20?,Finance Bill - Increase in Rate of Value Added Tax,13 Jul 2010,http://www.publicwhip.org.uk/division.php?date=2010-07-13&number=22,vat
Should any sanctions proposed by the EU in relation to economic governance not apply to the UK?,European Union Economic Governance,10 Nov 2010,http://www.publicwhip.org.uk/division.php?date=2010-11-10&number=115,sanctions
Should the Government prepare for and permit Royal Mail privatisation?,Postal Services Bill - Second Reading,27 Oct 2010,http://www.publicwhip.org.uk/division.php?date=2010-10-27&number=102,royalmail
Should the maximum period of detention without charge for terrorist suspects be kept at 28 days?,Terrorism Act 2006 (Disapplication of Section 25) Order 2010,14 Jul 2010,http://www.publicwhip.org.uk/division.php?date=2010-07-14&number=24,detention